Date,Time,PAR_rcb,PAR_greenup
8/23/18,11:45:00 PM,9,
8/24/18,12:00:00 AM,9,
8/24/18,12:15:00 AM,9,
8/24/18,12:30:00 AM,10,
8/24/18,12:45:00 AM,10,
8/24/18,1:00:00 AM,9,
8/24/18,1:15:00 AM,9,
8/24/18,1:30:00 AM,10,
8/24/18,1:45:00 AM,9,
8/24/18,2:00:00 AM,9,
8/24/18,2:15:00 AM,10,
8/24/18,2:30:00 AM,12,
8/24/18,2:45:00 AM,9,
8/24/18,3:00:00 AM,9,
8/24/18,3:15:00 AM,12,
8/24/18,3:30:00 AM,9,
8/24/18,3:45:00 AM,10,
8/24/18,4:00:00 AM,9,
8/24/18,4:15:00 AM,10,
8/24/18,4:30:00 AM,9,
8/24/18,4:45:00 AM,10,
8/24/18,5:00:00 AM,9,
8/24/18,5:15:00 AM,12,
8/24/18,5:30:00 AM,12,
8/24/18,5:45:00 AM,9,
8/24/18,6:00:00 AM,10,
8/24/18,6:15:00 AM,10,
8/24/18,6:30:00 AM,9,
8/24/18,6:45:00 AM,13,
8/24/18,7:00:00 AM,28,
8/24/18,7:15:00 AM,68,
8/24/18,7:30:00 AM,92,
8/24/18,7:45:00 AM,93,
8/24/18,8:00:00 AM,108,
8/24/18,8:15:00 AM,118,
8/24/18,8:30:00 AM,127,
8/24/18,8:45:00 AM,283,
8/24/18,9:00:00 AM,170,
8/24/18,9:15:00 AM,780,
8/24/18,9:30:00 AM,880,
8/24/18,9:45:00 AM,940,
8/24/18,10:00:00 AM,1059,
8/24/18,10:15:00 AM,1173,
8/24/18,10:30:00 AM,1209,
8/24/18,10:45:00 AM,1271,
8/24/18,11:00:00 AM,1354,
8/24/18,11:15:00 AM,1417,
8/24/18,11:30:00 AM,1478,
8/24/18,11:45:00 AM,1521,
8/24/18,12:00:00 PM,1567,
8/24/18,12:15:00 PM,1611,
8/24/18,12:30:00 PM,1644,
8/24/18,12:45:00 PM,1672,
8/24/18,1:00:00 PM,1650,
8/24/18,1:15:00 PM,1800,
8/24/18,1:30:00 PM,1752,
8/24/18,1:45:00 PM,1719,
8/24/18,2:00:00 PM,1762,
8/24/18,2:15:00 PM,1614,
8/24/18,2:30:00 PM,781,
8/24/18,2:45:00 PM,1417,
8/24/18,3:00:00 PM,1514,
8/24/18,3:15:00 PM,1585,
8/24/18,3:30:00 PM,1546,
8/24/18,3:45:00 PM,821,
8/24/18,4:00:00 PM,1521,
8/24/18,4:15:00 PM,805,
8/24/18,4:30:00 PM,596,
8/24/18,4:45:00 PM,1218,
8/24/18,5:00:00 PM,962,
8/24/18,5:15:00 PM,734,
8/24/18,5:30:00 PM,383,
8/24/18,5:45:00 PM,357,
8/24/18,6:00:00 PM,351,
8/24/18,6:15:00 PM,315,
8/24/18,6:30:00 PM,361,
8/24/18,6:45:00 PM,302,
8/24/18,7:00:00 PM,238,
8/24/18,7:15:00 PM,117,
8/24/18,7:30:00 PM,80,
8/24/18,7:45:00 PM,47,
8/24/18,8:00:00 PM,22,
8/24/18,8:15:00 PM,12,
